sheet,address,value,precedents,dependents
Help,A1,Vertex42® Money Manager 2.1,,
Help,B1,,,
Help,C1,,,
Help,A2,INSTRUCTIONS - For Excel 2010 or Later,,
Help,B2,,,
Help,C2,© 2010-2021 Vertex42 LLC,,
Help,B3,,,
Help,C3,MORE HELP >,,
Help,A4,Introduction,,
Help,B4,,,
Help,C4,Excel Tips >,,
Help,B5,The Vertex42® Money Manager can be a fairly simple money management tool. Like most,,
Help,B6,"spreadsheet applications, you should know that spreadsheets are error-prone. It is easy to",,
Help,B7,"make mistakes, accidentally delete things that should not be deleted, forget to copy formulas, ",,
Help,B8,"etc. If you are comfortable using Excel, know how to identify and fix formulas when needed,",,
Help,B9,"understand how to use basic row operations (delete, copy, inserted copied rows, etc.), are",,
Help,B10,"okay with the level of risk you take on by using a spreadsheet, and follow the instructions",,
Help,B11,"and guidelines, you should find this spreadsheet very useful.",,
Help,B12,,,
Help,B13,General Tips,,
Help,B14, - Edit cells with a gray border:,,
Help,C14,Input Cell,,
Help,B15, - Some of the labels include cell comments (marked with little red triangles) to provide,,
Help,B16,extra help information.,,
Help,C16,Label,,
Help,B17," - You can add your own cell comments! This is especially useful in the Budget worksheet,",,
Help,C17,,,
Help,B18,where you can create notes to explain irregular or variable expenses.,,
Help,B19," - If you see ""#####"" in a cell, widen the COLUMN to display the cell contents.",,
Help,B20," - This workbook uses a lot of conditional formatting. Look up ""conditional formatting"" online",,
Help,B21,or in the help system to learn how it works.,,
Help,B22," - You can add a limited amount of security by password protecting your workbook, but that ",,
Help,B23,can be easily bypassed by anyone with malicious intent. The security of your data is your,,
Help,B24,responsibility.,,
Help,B25, - Backup your file regularly to avoid losing data! Excel files DO get corrupted occasionally.,,
Help,A27,Step 1,,
Help,B27,Customize Categories,,
Help,B28,The easiest way to get started is to use the default set of budget categories.,,
Help,B29,,,
Help,B30,• Edit budget categories in the Budget worksheet only.,,
Help,B31,The other worksheets refer directly to the Budget worksheet.,,
Help,B32,• Do not insert more rows in the Budget or Report worksheets. This spreadsheet allows,,
Help,B33,"a limited number of budget categories. Although it is possible to add more, you will need",,
Help,B34,a lot more spreadsheet knowledge to make the necessary changes.,,
Help,B35,• Unhide the hidden rows in the Budget and Report worksheets if you need more categories.,,
Help,B36,• No Duplicate Category Names.,,
Help,B37,"Using duplicate category names will result in errors, but you may not notice the errors.",,
Help,B38,Make sure that each category is UNIQUE.,,
Help,B39,,,
Help,A40,Step 2,,
Help,B40,Define Your List of Accounts,,
Help,B41,Edit the Accounts worksheet. ,,
Help,B42,The list in the Accounts worksheet will populate the dropdown box in the Accounts column,,
Help,B43,of the Transactions worksheet.,,
Help,B44,,,
Help,B45,"TIP: If you start each account name with a different letter, Excel's autocomplete feature",,
Help,B46,will make entering the account much faster for you.,,
Help,B47,,,
Help,B48,Goals: The account list includes a place to list a Goal and the % column shows your progress,,
Help,B49,towards that goal. This may be useful for listing savings fund goals or check reserve amounts.,,
Help,B50,,,
Help,A51,Step 3,,
Help,B51,Define Your Yearly Budget,,
